user_id	level	avgtime	cishu	timecha	type1num	type2num	type1tuinum	type2tuinum
8984656	5	33.33 	66	717	2	0	0	0
9068707	3	65.00 	8	715	3	1	0	0
9281745	4	29.00 	90	712	2	1	0	0
9492578	4	74.00 	134	708	1	1	0	0
9605712	4	104.17 	62	706	2	0	0	0
9968697	5	52.00 	256	699	4	1	0	0
10522004	5	38.75 	150	684	1	0	0	0
11039017	7	71.43 	224	649	1	1	0	0
11089550	5	12.50 	94	646	1	0	0	0
12337169	4	95.83 	93	543	4	1	0	0
12497203	4	103.57 	30	535	3	0	0	0
12809354	4	90.00 	73	524	1	1	0	0
14254742	1	67.50 	31	439	5	0	1	0
14274510	3	96.67 	9	564	3	0	0	0
14922810	4	55.00 	81	397	2	0	1	0
15104145	4	77.86 	26	390	3	2	0	0
15431514	5	87.86 	29	379	1	3	0	0
15641801	4	110.83 	19	376	2	0	0	0
15653512	2	21.00 	8	376	3	0	0	0
15867761	4	78.33 	67	373	1	0	0	0
16460990	4	47.86 	145	362	1	0	0	0
16463426	4	27.14 	130	362	2	0	1	0
16526993	3	18.75 	33	361	1	0	0	0
16780057	6	103.33 	183	357	1	1	0	0
16877301	4	6.67 	39	356	1	0	0	0
17189328	4	46.00 	80	352	2	2	0	0
17416919	4	72.86 	30	350	3	0	0	0
17535107	3	69.00 	80	349	1	3	0	0
17763524	5	101.67 	145	347	1	2	0	0
17836009	4	68.33 	120	346	1	0	0	0
1791257	6	77.14 	291	1777	1	0	0	0
18146543	6	68.57 	36	343	2	2	0	0
18322922	4	151.67 	8	342	9	0	2	0
18876797	4	103.00 	25	336	1	1	0	0
18997358	1	51.67 	30	335	4	1	1	0
19662598	4	35.00 	95	321	1	0	0	0
19719207	5	40.00 	159	319	1	1	0	0
19855490	4	90.00 	76	315	3	0	0	0
20005560	5	33.33 	106	311	1	0	0	0
20472782	5	18.57 	24	299	3	0	0	0
20932612	5	74.29 	116	288	2	1	0	0
21450283	1	40.00 	81	280	2	0	1	0
2161151	4	13.75 	25	1539	3	6	0	0
21761615	4	81.67 	99	271	4	4	0	0
21767523	2	38.75 	7	271	2	1	0	0
22005383	4	108.57 	91	263	2	3	0	0
22176876	3	56.67 	74	257	1	0	0	0
22215362	5	165.00 	106	256	1	0	1	0
2244269	4	30.00 	80	1498	2	1	0	0
22664454	3	57.50 	8	239	1	0	0	0
22909813	4	46.00 	59	231	1	1	0	0
23111000	5	18.33 	121	224	4	0	0	0
23116936	3	50.00 	50	224	1	0	0	0
23425083	3	57.14 	24	212	2	0	0	0
23447959	5	15.00 	216	211	1	1	0	0
23539869	5	42.14 	176	208	1	0	0	0
23663902	4	65.00 	108	203	2	1	0	0
24425768	3	35.00 	79	179	1	0	0	0
24564487	4	13.33 	43	175	1	0	0	0
25025145	5	45.00 	108	161	4	1	0	0
25945463	1	117.50 	3	136	2	2	0	0
2619140	4	63.33 	153	1393	2	2	0	0
26423500	3	75.71 	26	134	4	1	1	0
26544544	5	21.00 	111	134	1	1	1	0
2704127	4	69.00 	201	1360	1	0	0	0
27246595	5	120.00 	105	133	2	0	0	0
27551972	4	42.00 	76	132	1	1	0	0
2803191	1	26.25 	3	1307	5	0	2	0
2857854	6	46.43 	171	1287	3	0	0	0
2892308	4	46.67 	32	1265	1	1	0	0
29526112	3	90.00 	19	131	3	0	0	0
29814652	4	36.43 	27	131	1	0	0	0
31386606	5	70.00 	64	130	2	0	0	0
3173883	4	41.25 	73	1157	1	0	0	0
3239298	4	50.83 	74	1141	1	1	0	0
3252332	4	150.00 	70	1137	2	0	0	0
3276314	5	55.00 	188	1131	2	0	0	0
32862626	5	91.43 	125	130	2	0	0	0
3316977	1	21.67 	3	1122	1	0	0	0
3347189	4	52.86 	48	1116	1	5	0	0
3430580	6	34.17 	222	1101	2	2	0	0
3467967	0	145.00 	27	1097	4	0	0	0
35819374	4	83.57 	89	126	2	0	0	0
3612223	5	11.43 	67	1081	2	6	0	0
36537994	5	11.67 	89	125	1	2	0	0
3928560	5	110.00 	144	1066	1	0	0	0
40109561	5	21.67 	32	123	2	1	0	0
4102015	4	16.67 	59	1060	1	1	0	0
41982343	1	32.50 	27	119	2	9	1	0
4239481	4	32.50 	31	1053	1	0	0	0
42569349	3	8.33 	5	117	4	0	0	0
